Ligand,SMILES,LGFE(kcal/mol),LE(kcal/mol),PoseNo
Z382608464,Cc1cccc(-c2nc(CSc3nnnn3C(C)(C)C)no2)c1,-12.617,-0.549,01
Z1595311952,COc1ccc(/C=C(/C)C[NH2+]C2CCN(c3ncccn3)CC2)cc1,-12.609,-0.504,01
Z413365722,CCCCCCNC(=O)Nc1ccc(C)c(-n2cnnn2)c1,-12.607,-0.573,02
Z2382304246,Cc1noc([C@H]2CN(Cc3ccc(CO)cc3)C[C@@H](C)O2)n1,-12.604,-0.573,05
Z2172295399,COCCCOc1cnc(-c2noc(-c3ccc(Oc4ccc(C(C)=O)cc4)cc3)n2)cn1,-12.601,-0.382,02
Z2172295399,COCCCOc1cnc(-c2noc(-c3ccc(Oc4ccc(C(C)=O)cc4)cc3)n2)cn1,-12.599,-0.382,03
Z1275665653,CNc1cc(N2CCC[C@@H]2CNC(=O)c2cc(C(C)C)[nH]n2)ncn1,-12.586,-0.503,05
Z1529129025,Cc1cc(CN2CCO[C@H](c3cccc(OC(F)F)c3)C2)on1,-12.585,-0.547,01
Z1529137232,Cc1nnc(CN2CCO[C@@H](c3cccc(OC(F)F)c3)C2)n1C,-12.585,-0.524,03
Z2900814537,CNC(=O)C[N@H+]1CC[C@@H](Cc2nc(-c3cccc(C)n3)no2)CC1,-12.585,-0.524,03
Z1529129025,Cc1cc(CN2CCO[C@H](c3cccc(OC(F)F)c3)C2)on1,-12.583,-0.547,02
Z646148144,COc1ccc(OC2CCN(c3ncnc4c3cnn4C)CC2)cc1,-12.581,-0.503,04
Z1169856095,Cc1ccc(OCc2nc(CC(=O)NC3CCCCC3)no2)cc1C,-12.580,-0.503,05
Z1315945609,CC(C)OCC[NH+]1CCN(C(=O)c2ccc(-c3ncon3)cc2)CC1,-12.555,-0.502,03
Z382608464,Cc1cccc(-c2nc(CSc3nnnn3C(C)(C)C)no2)c1,-12.551,-0.546,02
Z646148144,COc1ccc(OC2CCN(c3ncnc4c3cnn4C)CC2)cc1,-12.550,-0.502,05
Z351236604,O=C(/C=C/c1cn(Cc2ccccc2)nc1-c1cccnc1)c1ccc(O)c(CCCl)c1,-12.541,-0.392,01
Z57391292,COc1ccccc1/C=C/C=c1/sc2nc(=O)c(Cc3ccccc3)nn2c1=O,-12.541,-0.432,01
Z382608464,Cc1cccc(-c2nc(CSc3nnnn3C(C)(C)C)no2)c1,-12.540,-0.545,03
Z1315945609,CC(C)OCC[NH+]1CCN(C(=O)c2ccc(-c3ncon3)cc2)CC1,-12.523,-0.501,04
Z425099474,CC(=O)c1cc2c(cc1NC(=O)CN1CC[NH+](CCSc3ccccc3)CC1)OCO2,-12.513,-0.404,03
Z1376297201,COc1cccc(/C=C/C(=O)N[C@H](C)CO[C@H]2CCOC2)c1,-12.509,-0.569,03
Z872091098,CC[C@H]1CC[C@@H](CNC(=O)CCc2nc(-c3cccnc3)no2)CC1,-12.500,-0.500,01
Z1393100271,C[C@H]1Oc2ccc(C(=O)[C@H]3CC[N@@H+](C[C@@H](O)COC4CCOCC4)CC3)cc2NC1=O,-12.493,-0.403,03
Z2053141383,Cc1ccnc(N2CCC[C@H](n3ncc(N(C)C(C)C)cc3=O)C2)n1,-12.493,-0.500,01
Z46591104,COc1cc(OC)c(OC)cc1/C=C/C(=O)c1ccc(S(=O)(=O)N2CCC(C)CC2)cc1,-12.492,-0.390,05
Z382608464,Cc1cccc(-c2nc(CSc3nnnn3C(C)(C)C)no2)c1,-12.486,-0.543,04
Z2761818122,CCn1ncc(C[N@H+]2C[C@H](N3CCO[C@H](c4nc(C)no4)C3)C2)n1,-12.476,-0.520,01
Z193494820,Cc1cc(C)n2nc(SCc3nc(N)nc(N(C)C)n3)nc2n1,-12.460,-0.542,02
Z1385971626,CC1(C)[C@H]2CC[C@]1(C)[C@H](NC(=O)NCCc1nnc3n1CCC3)C2,-12.458,-0.519,01
Z1376297201,COc1cccc(/C=C/C(=O)N[C@H](C)CO[C@H]2CCOC2)c1,-12.448,-0.566,04
Z238860046,COc1ccc(C(=O)C2CCN(C(=O)c3ccccc3OC[C@@H]3CCCO3)CC2)cc1,-12.445,-0.401,01
Z382608464,Cc1cccc(-c2nc(CSc3nnnn3C(C)(C)C)no2)c1,-12.443,-0.541,05
Z109828892,CNC(=O)[C@H]1CN(C(=O)C2CCN(S(=O)(=O)c3cccc(C(C)=O)c3)CC2)c2ccccc2O1,-12.439,-0.366,01
Z1595311952,COc1ccc(/C=C(/C)C[NH2+]C2CCN(c3ncccn3)CC2)cc1,-12.437,-0.497,02
Z343284594,Cc1ccc(C(=O)CCC(=O)N2CCN(S(=O)(=O)N(C)C)CC2)cc1C,-12.436,-0.478,02
Z1529137232,Cc1nnc(CN2CCO[C@@H](c3cccc(OC(F)F)c3)C2)n1C,-12.435,-0.518,04
Z1595311952,COc1ccc(/C=C(/C)C[NH2+]C2CCN(c3ncccn3)CC2)cc1,-12.435,-0.497,03
Z343284594,Cc1ccc(C(=O)CCC(=O)N2CCN(S(=O)(=O)N(C)C)CC2)cc1C,-12.425,-0.478,03
Z2710591964,Nc1nnc(CCNC(=O)c2ccc(O[C@@H]3CC3(F)F)cc2)o1,-12.418,-0.540,01
Z1376297201,COc1cccc(/C=C/C(=O)N[C@H](C)CO[C@H]2CCOC2)c1,-12.417,-0.564,05
Z223015720,Cc1ccc(NC(=O)[C@H](C)[N@H+]2CC[C@H](C(=O)c3ccccc3)CC2)cc1S(=O)(=O)N1CCOCC1,-12.386,-0.354,05
Z2172295399,COCCCOc1cnc(-c2noc(-c3ccc(Oc4ccc(C(C)=O)cc4)cc3)n2)cn1,-12.378,-0.375,04
Z1315945609,CC(C)OCC[NH+]1CCN(C(=O)c2ccc(-c3ncon3)cc2)CC1,-12.375,-0.495,05
Z193494820,Cc1cc(C)n2nc(SCc3nc(N)nc(N(C)C)n3)nc2n1,-12.362,-0.537,03
Z2172295399,COCCCOc1cnc(-c2noc(-c3ccc(Oc4ccc(C(C)=O)cc4)cc3)n2)cn1,-12.358,-0.374,05
Z1334294923,O=C(NCc1cnn[nH]1)[C@@H]1C[C@H]1c1ccc(OCc2ccccc2)cc1,-12.352,-0.475,01
Z1002215254,c1cc(CNc2cncc(-n3cccn3)n2)cc(Cn2cncn2)c1,-12.351,-0.494,01
Z343284594,Cc1ccc(C(=O)CCC(=O)N2CCN(S(=O)(=O)N(C)C)CC2)cc1C,-12.347,-0.475,04
Z109828892,CNC(=O)[C@H]1CN(C(=O)C2CCN(S(=O)(=O)c3cccc(C(C)=O)c3)CC2)c2ccccc2O1,-12.344,-0.363,02
Z343284594,Cc1ccc(C(=O)CCC(=O)N2CCN(S(=O)(=O)N(C)C)CC2)cc1C,-12.338,-0.475,05
Z317633246,Cc1ccc(OCCC(=O)NCc2nnc3n2CCCCC3)cc1C,-12.335,-0.493,02
Z1529137232,Cc1nnc(CN2CCO[C@@H](c3cccc(OC(F)F)c3)C2)n1C,-12.333,-0.514,05
Z228847956,COc1ccc(OCCN(C)c2ncnc3c2cnn3C)cc1,-12.329,-0.536,01
Z1171722783,CN(CC(=O)NC[C@]1(O)CC[C@@H](C(C)(C)C)CC1)S(C)(=O)=O,-12.326,-0.560,01
Z966629710,O=C(COCC1CC1)NCCC(=O)N1CCN(c2ccccn2)CC1,-12.326,-0.493,01
Z2900814537,CNC(=O)C[N@H+]1CC[C@@H](Cc2nc(-c3cccc(C)n3)no2)CC1,-12.321,-0.513,04
Z2058120867,Cc1cc(NC(=O)CN2CCO[C@H](C)[C@H]2c2nc(C)no2)n(C)n1,-12.319,-0.513,01
Z1757599584,COc1ccc(Cc2noc([C@H](NC(C)=O)C3CCOCC3)n2)cc1,-12.314,-0.493,01
Z2227156587,CC(C)(C)c1ccc(SCC(=O)Nc2nnc3[nH]cnn23)cc1,-12.309,-0.535,01
Z28276809,COc1ccc(CCN2C[C@H](C(=O)NC(C)(C)C)CC2=O)cc1OC,-12.309,-0.492,01
Z2710591964,Nc1nnc(CCNC(=O)c2ccc(O[C@@H]3CC3(F)F)cc2)o1,-12.308,-0.535,02
Z1595311952,COc1ccc(/C=C(/C)C[NH2+]C2CCN(c3ncccn3)CC2)cc1,-12.305,-0.492,04
Z1595311952,COc1ccc(/C=C(/C)C[NH2+]C2CCN(c3ncccn3)CC2)cc1,-12.303,-0.492,05
Z401557502,CNC(=O)COc1cccc(N[C@@H](C)C(=O)Nc2cc(C)on2)c1,-12.284,-0.512,02
